name,club_abb,club,2021 guaranteed comp.,2022 guar. comp.,position,birth_city,birth_country,"height, cm","weight, kg",foot,games_played,game_started,sum,average,trim data,merge data,length,exact
Joel Waterman,MTL,Montreal,90284,133909,Defender,Langley,Canada,185,78,,22,21,224193,21.5,Joel Waterman,"Canada , Langley",13,FALSE
Patrick Weah,MIN,Minnesota United,76733,79910,Forward,,,185,84,,2,0,156643,1,Patrick Weah," , ",12,TRUE
Quentin Westberg,TOR,Toronto,288583,313583,Goalkeeper,Suresnes,France,185,76,,10,10,602166,10,Quentin Westberg,"France , Suresnes",16,FALSE
Josh Williams,CLB,Columbus Crew,302500,325000,Defender,Akron,USA,187,88,Right,18,14,627500,16,Josh Williams,"USA , Akron",13,FALSE
Derrick Williams,LA,LA Galaxy,821458,821458,Defender,,,180,75,,21,20,1642916,20.5,Derrick Williams," , ",16,TRUE
Thomas Williams,ORL,Orlando City,70077,73254,Defender,,USA,191,77,,0,0,143331,0,Thomas Williams,"USA , ",15,FALSE
Joe Willis,NSH,Nashville,316250,316250,Goalkeeper,St. Louis,USA,196,86,,34,34,632500,34,Joe Willis,"USA , St. Louis",10,FALSE
Tyler Wolff,ATL,Atlanta United,79500,114500,Forward,,USA,175,70,,7,2,194000,4.5,Tyler Wolff,"USA , ",11,FALSE
Owen Wolff,ATX,Austin,76600,78553,Midfielder,Snellville,USA,176,66,,2,0,155153,1,Owen Wolff,"USA , Snellville",10,FALSE
Karifa Yao,MTL,Montreal,85591,89933,Defender,,Canada,191,85,,0,0,175524,0,Karifa Yao,"Canada , ",10,FALSE
Darren Yapi,COL,Colorado Rapids,74380,76333,Forward,Denver,USA,185,79,,0,0,150713,0,Darren Yapi,"USA , Denver",11,FALSE
William Yarbrough,COL,Colorado Rapids,375000,375000,Goalkeeper,Aguascalientes,Mexico,187,73,Right,33,33,750000,33,William Yarbrough,"Mexico , Aguascalientes",17,FALSE
Eriq Zavaleta,TOR,Toronto,115503,84000,Defender,Westfield,USA,186,83,,14,12,199503,13,Eriq Zavaleta,"USA , Westfield",13,FALSE
Gedion Zelalem,NYC,New York City,81375,84000,Midfielder,Berlin,Germany,180,74,Right,7,1,165375,4,Gedion Zelalem,"Germany , Berlin",14,FALSE
Rida Zouhir,MTL,Montreal,71730,74809,Midfielder,,Canada,178,73,,2,0,146539,1,Rida Zouhir,"Canada , ",11,FALSE
Dario Zuparic,POR,Portland Timbers,541667,579200,Defender,Zupanja,Croatia,185,84,Both,31,30,1120867,30.5,Dario Zuparic,"Croatia , Zupanja",13,FALSE
Graham Zusi,SKC,Sporting Kansas City,713333,450000,Defender,Longwood,USA,178,72,Left,26,24,1163333,25,Graham Zusi,"USA , Longwood",11,FALSE
