name,club_abb,club,2021 guaranteed comp.,2022 guar. comp.,position,birth_city,birth_country,"height, cm","weight, kg",foot,games_played,game_started,sum,average,trim data,merge data,length,exact
Julian Gaines,LAFC,LAFC,83375,87444,Defender,Austin,USA,178,73,,0,0,170819,0,Julian Gaines,"USA , Austin",13,FALSE
Pedro Gallese,ORL,Orlando City,410000,515000,Goalkeeper,Lima,Peru,189,79,Right,22,22,925000,22,Pedro Gallese,"Peru , Lima",13,FALSE
Chris Garcia,RSL,Real Salt Lake,89744,94300,Forward,"El Paso, TX",USA,170,64,,0,0,184044,0,Chris Garcia,"USA , El Paso, TX",12,FALSE
Francisco Ginella,LAFC,LAFC,547250,572250,Midfielder,Montevideo,Uruguay,182,73,,17,9,1119500,13,Francisco Ginella,"Uruguay , Montevideo",17,FALSE
Tomas Giraldo,MTL,Montreal,75481,121000,Midfielder,,Colombia,183,74,,0,0,196481,0,Tomas Giraldo,"Colombia , ",13,FALSE
Christopher Gloster,NYC,New York City,207000,238000,Defender,Montclair,USA,183,79,Left,4,1,445000,2.5,Christopher Gloster,"USA , Montclair",19,FALSE
Marcus Godinho,VAN,Vancouver Whitecaps,84375,88444,Defender,"Toronto, ON",Canada,178,72,Right,4,1,172819,2.5,Marcus Godinho,"Canada , Toronto, ON",14,FALSE
Anibal Godoy,NSH,Nashville,771667,871250,Midfielder,Panama City,Panama,180,75,Left,26,22,1642917,24,Anibal Godoy,"Panama , Panama City",12,FALSE
Leandro Gonzalez Pirez,MIA,Inter Miami,1010246,1052750,Defender,Buenos Aires,Argentina,186,90,Right,30,30,2062996,30,Leandro Gonzalez Pirez,"Argentina , Buenos Aires",22,FALSE
Tayvon Gray,NYC,New York City,114788,144788,Defender,,USA,180,74,,10,3,259576,6.5,Tayvon Gray,"USA , ",11,FALSE
Jacob Greene,DC,DC United,66547,88444,Defender,Crofton,USA,178,64,,0,0,154991,0,Jacob Greene,"USA , Crofton",12,FALSE
Jan Gregus,MIN,Minnesota United,883500,655000,Midfielder,Nitra,Slovakia,189,82,Left,15,9,1538500,12,Jan Gregus,"Slovakia , Nitra",10,FALSE
Adam Grinwis,ORL,Orlando City,81375,85444,Goalkeeper,"Ada Township, MI",USA,188,82,,2,2,166819,2,Adam Grinwis,"USA , Ada Township, MI",12,FALSE
Sami Guediri,MIA,Inter Miami,63547,84000,Defender,,,180,75,,10,2,147547,6,Sami Guediri," , ",12,TRUE
Brian Gutierrez,CHI,Chicago Fire,68624,105900,Midfielder,Chicago,USA,178,64,Right,17,6,174524,11.5,Brian Gutierrez,"USA , Chicago",15,FALSE
Cristian Gutierrez,VAN,Vancouver Whitecaps,167500,267500,Defender,Quebec,Canada,180,68,Left,19,17,435000,18,Cristian Gutierrez,"Canada , Quebec",18,FALSE
Brad Guzan,ATL,Atlanta United,805000,458216,Goalkeeper,Evergreen Park,USA,193,94,Left,29,29,1263216,29,Brad Guzan,"USA , Evergreen Park",10,FALSE
Justin Haak,NYC,New York City,81375,85444,Midfielder,Brooklyn,USA,183,75,,0,0,166819,0,Justin Haak,"USA , Brooklyn",11,FALSE
Kamron Habibullah,VAN,Vancouver Whitecaps,74429,94882,Forward,Tashkent,Uzbekistan,168,69,,3,0,169311,1.5,Kamron Habibullah,"Uzbekistan , Tashkent",17,FALSE
Teenage Hadebe,HOU,Houston Dynamo,1125177,1179177,Defender,Bulawayo,Zimbabwe,180,74,Left,17,17,2304354,17,Teenage Hadebe,"Zimbabwe , Bulawayo",14,FALSE
Marlon Hairston,CLB,Columbus Crew,81375,175000,Midfielder,"Jackson, MS",USA,183,71,,21,16,256375,18.5,Marlon Hairston,"USA , Jackson, MS",15,FALSE
Siad Haji,SJ,San Jose Earthquakes,104000,129000,Midfielder,Kakuma,Kenya,170,70,,4,0,233000,2,Siad Haji,"Kenya , Kakuma",9,FALSE
Michael Halliday,ORL,Orlando City,95089,99447,Defender,,,185,71,,6,4,194536,5,Michael Halliday," , ",16,TRUE
Bret Halsey,RSL,Real Salt Lake,88875,91500,Defender,"Sterling, VA",USA,175,68,,0,0,180375,0,Bret Halsey,"USA , Sterling, VA",11,FALSE
Bill Hamid,DC,DC United,500000,700000,Goalkeeper,,,191,102,,21,21,1200000,21,Bill Hamid," , ",10,TRUE
Cameron Harper,RBNY,New York Red Bulls,251250,276250,Forward,,,175,71,Right,7,0,527500,3.5,Cameron Harper," , ",14,TRUE
Calvin Harris,CIN,Cincinnati,96375,100444,Forward,,,183,73,,16,4,196819,10,Calvin Harris," , ",13,TRUE
Carlos Miguel Harvey,LA,LA Galaxy,81375,84000,Midfielder,,Panama,185,82,,4,1,165375,2.5,Carlos Miguel Harvey,"Panama , ",20,FALSE
Thomas Hasal,VAN,Vancouver Whitecaps,81375,173934,Goalkeeper,Cambridge,Canada,193,86,,7,7,255309,7,Thomas Hasal,"Canada , Cambridge",12,FALSE
Jacori Hayes,MIN,Minnesota United,169833,199833,Midfielder,"Andrews Air Force Base, MD",USA,173,68,,15,7,369666,11,Jacori Hayes,"USA , Andrews Air Force Base, MD",12,FALSE
Fabian Herbers,CHI,Chicago Fire,251250,281250,Forward,Ahaus,Germany,183,75,,27,22,532500,24.5,Fabian Herbers,"Germany , Ahaus",14,FALSE
Dominick Hernandez,DAL,Dallas,73237,76438,Midfielder,"Dallas, TX",USA,178,78,,0,0,149675,0,Dominick Hernandez,"USA , Dallas, TX",18,FALSE
Danny Hoesen,ATX,Austin,716667,716667,Forward,Heerlen,Netherlands,185,75,,5,5,1433334,5,Danny Hoesen,"Netherlands , Heerlen",12,FALSE
Ian Hoffmann,HOU,Houston Dynamo,63547,85444,Midfielder,"Wilton, CT",USA,170,61,,6,2,148991,4,Ian Hoffmann,"USA , Wilton, CT",12,FALSE
Matt Hundley,COL,Colorado Rapids,104000,119000,Forward,"Littleton, CO",USA,178,74,,0,0,223000,0,Matt Hundley,"USA , Littleton, CO",12,FALSE
Erik Hurtado,CLB,Columbus Crew,245682,84000,Forward,"Fredricksburg, VA",USA,178,79,,0,0,329682,0,Erik Hurtado,"USA , Fredricksburg, VA",12,FALSE
Franco Ibarra,ATL,Atlanta United,370000,520000,Midfielder,,Argentina,175,69,,16,9,890000,12.5,Franco Ibarra,"Argentina , ",13,FALSE
Sebastien Ibeagha,LAFC,LAFC,177125,252125,Defender,Warri,Nigeria,188,85,,13,8,429250,10.5,Sebastien Ibeagha,"Nigeria , Warri",17,FALSE
Clint Irwin,COL,Colorado Rapids,203300,213300,Goalkeeper,Charlotte,,191,88,,1,1,416600,1,Clint Irwin," , Charlotte",11,FALSE
Nicolas Isimat-Mirin,SKC,Sporting Kansas City,1028124,1028124,Defender,Meudon,France,187,82,Right,13,11,2056248,12,Nicolas Isimat-Mirin,"France , Meudon",20,FALSE
Aljaz Ivacic,POR,Portland Timbers,235000,248333,Goalkeeper,Ljubljana,Slovenia,188,82,Right,5,4,483333,4.5,Aljaz Ivacic,"Slovenia , Ljubljana",12,FALSE
Stanislav Ivanov,CHI,Chicago Fire,334000,359000,Forward,,,177,70,,11,6,693000,8.5,Stanislav Ivanov," , ",16,TRUE
Aziel Jackson,MIN,Minnesota United,67444,70633,Midfielder,New York,USA,175,70,,0,0,138077,0,Aziel Jackson,"USA , New York",13,FALSE
Andres Jasson,NYC,New York City,80691,117144,Midfielder,,,175,70,,20,6,197835,13,Andres Jasson," , ",13,TRUE
Cal Jennings,LAFC,LAFC,81375,84000,Forward,Atlanta,USA,180,77,,6,2,165375,4,Cal Jennings,"USA , Atlanta",12,FALSE
Sean Johnson,NYC,New York City,510000,550000,Goalkeeper,Lilburn,USA,191,98,Right,29,29,1060000,29,Sean Johnson,"USA , Lilburn",12,FALSE
Sam Junqua,HOU,Houston Dynamo,81375,89513,Defender,Saratoga,,183,77,,22,18,170888,20,Sam Junqua," , Saratoga",10,FALSE
Alec Kann,ATL,Atlanta United,115000,220833,Goalkeeper,Decatur,,194,87,,5,5,335833,5,Alec Kann," , Decatur",9,FALSE
Johan Kappelhof,CHI,Chicago Fire,490333,287000,Defender,Amsterdam,Netherlands,180,70,,19,16,777333,17.5,Johan Kappelhof,"Netherlands , Amsterdam",15,FALSE
Aboubacar Keita,CLB,Columbus Crew,110000,135000,Defender,New York,USA,188,81,,16,10,245000,13,Aboubacar Keita,"USA , New York",15,FALSE
